"No.","Time","Source","Destination","Protocol","Length","Info"
"87363","19.187149","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1839824 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87364","19.187215","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1841198 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87365","19.187258","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1842572 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87366","19.187303","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1845320 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87367","19.187347","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1846694 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87369","19.187458","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1849442 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87370","19.187501","10.1.246.44","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1 Ack=1 Win=229 Len=1374 TSval=1455333973 TSecr=1915938703"
"87371","19.187546","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1852190 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87372","19.187590","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1853564 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87373","19.187666","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1854938 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
